id,url,domain,category,priority,enabled
supplement-001,https://analytics-log.classlink.io/,analytics-log.classlink.io,ranked-high-usage-supplement,997999,true
supplement-002,https://platform.twitter.com/,platform.twitter.com,ranked-high-usage-supplement,997998,true
supplement-003,https://cdn.mozilla.net/,cdn.mozilla.net,ranked-high-usage-supplement,997997,true
supplement-004,https://rezync.com/,rezync.com,ranked-high-usage-supplement,997996,true
supplement-005,https://live.rezync.com/,live.rezync.com,ranked-high-usage-supplement,997995,true
supplement-006,https://microsoftpersonalcontent.com/,microsoftpersonalcontent.com,ranked-high-usage-supplement,997994,true
supplement-007,https://avcdn.net/,avcdn.net,ranked-high-usage-supplement,997993,true
supplement-008,https://valid-apple.g.aaplimg.com/,valid-apple.g.aaplimg.com,ranked-high-usage-supplement,997992,true
supplement-009,https://my.microsoftpersonalcontent.com/,my.microsoftpersonalcontent.com,ranked-high-usage-supplement,997991,true
supplement-010,https://krxd.net/,krxd.net,ranked-high-usage-supplement,997990,true
supplement-011,https://iad-01.braze.com/,iad-01.braze.com,ranked-high-usage-supplement,997989,true
supplement-012,https://p19-common-sign.tiktokcdn.com/,p19-common-sign.tiktokcdn.com,ranked-high-usage-supplement,997988,true
supplement-013,https://femetrics.grammarly.io/,femetrics.grammarly.io,ranked-high-usage-supplement,997986,true
supplement-014,https://openxcdn.net/,openxcdn.net,ranked-high-usage-supplement,997982,true
supplement-015,https://manage.microsoft.us/,manage.microsoft.us,ranked-high-usage-supplement,997981,true
supplement-016,https://ts.amazon-adsystem.com/,ts.amazon-adsystem.com,ranked-high-usage-supplement,997979,true
supplement-017,https://primis.tech/,primis.tech,ranked-high-usage-supplement,997978,true
supplement-018,https://tynt.com/,tynt.com,ranked-high-usage-supplement,997976,true
supplement-019,https://a2030.dscapi9.akamai.net/,a2030.dscapi9.akamai.net,ranked-high-usage-supplement,997975,true
supplement-020,https://undertone.com/,undertone.com,ranked-high-usage-supplement,997974,true
supplement-021,https://x.com/,x.com,ranked-high-usage-supplement,997973,true
supplement-022,https://nextmillmedia.com/,nextmillmedia.com,ranked-high-usage-supplement,997972,true
supplement-023,https://p16-common-sign.tiktokcdn-us.com/,p16-common-sign.tiktokcdn-us.com,ranked-high-usage-supplement,997970,true
supplement-024,https://revenuecat.com/,revenuecat.com,ranked-high-usage-supplement,997968,true
supplement-025,https://oa.openxcdn.net/,oa.openxcdn.net,ranked-high-usage-supplement,997967,true
supplement-026,https://collabrtc.officeapps.live.com/,collabrtc.officeapps.live.com,ranked-high-usage-supplement,997965,true
supplement-027,https://sdk.iad-01.braze.com/,sdk.iad-01.braze.com,ranked-high-usage-supplement,997963,true
supplement-028,https://amazonalexa.com/,amazonalexa.com,ranked-high-usage-supplement,997961,true
